"region_seqnames","region_start","region_end","region_width","region_sign","region_deltaEV1_mean","region_deltaEV1_min","region_deltaEV1_max","region_deltaEV2_mean","region_deltaEV2_min","region_deltaEV2_max","region_n_bins","gene_seqnames","gene_start","gene_end","gene_width","gene_gene_id","gene_gene_symbol"
"chr1",34300001,34800000,500000,1,0.0345674866835367,0.0314696840729673,0.0369198950215811,0.024613182948064,0.022287560337286,0.0265790555494041,5,"chr1",33969609,34641443,671835,"114784","CSMD2"
"chr1",34300001,34800000,500000,1,0.0345674866835367,0.0314696840729673,0.0369198950215811,0.024613182948064,0.022287560337286,0.0265790555494041,5,"chr1",34316076,34340392,24317,"127540","HMGB4"
"chr1",34300001,34800000,500000,1,0.0345674866835367,0.0314696840729673,0.0369198950215811,0.024613182948064,0.022287560337286,0.0265790555494041,5,"chr1",34324557,34361059,36503,"402779","CSMD2-AS1"
"chr1",34300001,34800000,500000,1,0.0345674866835367,0.0314696840729673,0.0369198950215811,0.024613182948064,0.022287560337286,0.0265790555494041,5,"chr1",34622624,34694731,72108,"84970","C1orf94"
"chr1",59300001,59700000,400000,-1,-0.0227316268915306,-0.0248350074983216,-0.0202386882145646,-0.0225991020141045,-0.0243432471871149,-0.0202083051672646,4,"chr1",59240823,59375384,134562,"100131060","LINC01135"
"chr1",59300001,59700000,400000,-1,-0.0227316268915306,-0.0248350074983216,-0.0202386882145646,-0.0225991020141045,-0.0243432471871149,-0.0202083051672646,4,"chr1",59587608,59622479,34872,"729467","HSD52"
"chr1",75200001,75600000,400000,1,0.0223214349191513,0.0192195154723318,0.0248409394832073,0.0259313165020624,0.0214638609931014,0.0288291511676456,4,"chr1",75188836,75242360,53525,"127253","TYW3"
"chr1",75200001,75600000,400000,1,0.0223214349191513,0.0192195154723318,0.0248409394832073,0.0259313165020624,0.0214638609931014,0.0288291511676456,4,"chr1",75161172,75209092,47921,"1429","CRYZ"
"chr1",75200001,75600000,400000,1,0.0223214349191513,0.0192195154723318,0.0248409394832073,0.0259313165020624,0.0214638609931014,0.0288291511676456,4,"chr1",75584119,75637218,53100,"431707","LHX8"
"chr1",115900001,116500000,600000,1,0.0300256252545713,0.0244902711431148,0.0328770381105889,0.0227193226703006,0.019095445273134,0.0246048644982861,6,"chr1",116368999,116393747,24749,"4808","NHLH2"
